# Data generated by me. See .ipynb in root dir
,visitors,infected,situation
0,29986,270,unfettered
1,82294,5,unfettered
2,33497,113,unfettered
3,52333,187,unfettered
4,90148,1096,unfettered
5,88450,238,unfettered
6,83659,163,unfettered
7,40544,267,unfettered
8,44192,208,unfettered
9,40788,212,unfettered
10,85933,68,unfettered
11,41160,34,unfettered
12,40093,59,unfettered
13,18939,44,unfettered
14,38182,175,unfettered
15,86542,56,unfettered
16,84822,24,unfettered
17,44364,429,unfettered
18,27920,106,unfettered
19,99876,890,unfettered
20,68495,638,unfettered
21,70894,961,unfettered
22,12260,38,unfettered
23,69588,68,unfettered
24,44811,2,unfettered
25,36725,84,unfettered
26,27982,146,unfettered
27,55181,343,unfettered
28,71816,225,unfettered
29,46930,135,unfettered
30,33317,119,unfettered
31,73416,35,unfettered
32,23373,9,unfettered
33,38550,170,unfettered
34,57159,402,unfettered
35,94100,1092,unfettered
36,76281,231,unfettered
37,69428,319,unfettered
38,26625,132,unfettered
39,13578,111,unfettered
40,34259,219,unfettered
41,13375,16,unfettered
42,25033,41,unfettered
43,64292,359,unfettered
44,22660,63,unfettered
45,25584,167,unfettered
46,43080,269,unfettered
47,47359,441,unfettered
48,10514,38,unfettered
49,90876,270,unfettered
50,87977,289,unfettered
51,29264,427,unfettered
52,26078,41,unfettered
53,33814,42,unfettered
54,86149,320,unfettered
55,53356,238,unfettered
56,43744,102,unfettered
57,75304,655,unfettered
58,60842,315,unfettered
59,51649,199,unfettered
60,85299,527,unfettered
61,75469,177,unfettered
62,96744,117,unfettered
63,55396,108,unfettered
64,16186,41,unfettered
65,51398,115,unfettered
66,42895,358,unfettered
67,27732,116,unfettered
68,55125,104,unfettered
69,41556,27,unfettered
70,52844,11,unfettered
71,59971,575,unfettered
72,58752,363,unfettered
73,69915,132,unfettered
74,83172,1065,unfettered
75,98393,641,unfettered
76,45165,84,unfettered
77,70062,198,unfettered
78,62557,302,unfettered
79,42194,137,unfettered
80,53976,124,unfettered
81,77678,19,unfettered
82,30822,22,unfettered
83,85247,515,unfettered
84,90431,905,unfettered
85,19378,105,unfettered
86,99081,28,unfettered
87,36160,607,unfettered
88,95631,1171,unfettered
89,96464,1097,unfettered
90,59290,134,unfettered
91,47462,2,unfettered
92,47160,285,unfettered
93,89130,632,unfettered
94,96751,146,unfettered
95,52572,264,unfettered
96,56387,294,unfettered
97,78998,1071,unfettered
98,73536,370,unfettered
99,77632,324,unfettered
100,13435,55,unfettered
101,43360,225,unfettered
102,95187,376,unfettered
103,62408,47,unfettered
104,34717,274,unfettered
105,67754,362,unfettered
106,51238,110,unfettered
107,68752,12,unfettered
108,84240,374,unfettered
109,38591,264,unfettered
110,22113,78,unfettered
111,25872,297,unfettered
112,48835,247,unfettered
113,69865,143,unfettered
114,80524,331,unfettered
115,14293,36,unfettered
116,41975,196,unfettered
117,56342,352,unfettered
118,25539,272,unfettered
