,r
0,1.139045191384845
1,1.1370307420930943
2,1.1370307420930943
3,1.1388497466844876
4,1.1388497466844876
5,1.1388497466844876
6,1.1367187768672147
7,1.137389412871704
8,1.137389412871704
9,1.137389412871704
10,1.137389412871704
11,1.137389412871704
12,1.1424342701882089
13,1.1424342701882089
14,1.1424342701882089
15,1.1424342701882089
16,1.1424342701882089
17,1.1424342701882089
18,1.1424342701882089
19,1.1424342701882089
20,1.1424342701882089
21,1.136909376093912
22,1.136909376093912
23,1.136909376093912
24,1.140862876441498
25,1.140862876441498
26,1.140862876441498
27,1.140862876441498
28,1.140620129514833
29,1.140620129514833
30,1.140620129514833
31,1.140620129514833
32,1.140620129514833
33,1.140620129514833
34,1.140620129514833
35,1.1357070539897853
36,1.1357070539897853
37,1.1352572918451787
38,1.1352572918451787
39,1.1352572918451787
40,1.1352572918451787
41,1.1352572918451787
42,1.1352572918451787
43,1.1379804308613137
44,1.1379804308613137
45,1.1379804308613137
46,1.1379804308613137
47,1.1380426146514653
48,1.1380426146514653
49,1.1380426146514653
50,1.1380426146514653
51,1.1380426146514653
52,1.1380426146514653
53,1.1380426146514653
54,1.1380426146514653
55,1.1380426146514653
56,1.1374183818417016
57,1.1408180540261026
58,1.1408180540261026
59,1.1356236861775868
60,1.1356236861775868
61,1.1356236861775868
62,1.1356236861775868
63,1.1356236861775868
64,1.1379126545384413
65,1.1379126545384413
66,1.1379126545384413
67,1.1379126545384413
68,1.1379126545384413
69,1.1379126545384413
70,1.1377522119819148
71,1.1377522119819148
72,1.1377522119819148
73,1.1377522119819148
74,1.1369859247748935
75,1.1369859247748935
76,1.1369859247748935
77,1.1369859247748935
78,1.1369859247748935
79,1.1369859247748935
80,1.1369859247748935
81,1.1412080011810455
82,1.1412080011810455
83,1.1395339900140935
84,1.1395339900140935
85,1.1395339900140935
86,1.1395339900140935
87,1.1395339900140935
88,1.1369384908945024
89,1.1369384908945024
90,1.1394052983464225
91,1.1394052983464225
92,1.1394052983464225
93,1.1394052983464225
94,1.1394052983464225
95,1.1394052983464225
96,1.1394052983464225
97,1.1394052983464225
98,1.1376803888317204
99,1.1365813138912149
100,1.1365813138912149
101,1.1365813138912149
102,1.1365813138912149
103,1.1373444957494094
104,1.1373444957494094
105,1.1373444957494094
106,1.1378559763797538
107,1.1378559763797538
108,1.13777216511973
109,1.13777216511973
110,1.13777216511973
111,1.13777216511973
112,1.13777216511973
113,1.1355000059328428
114,1.1355000059328428
115,1.1355000059328428
116,1.1355000059328428
117,1.1355000059328428
118,1.141070169501035
119,1.141070169501035
120,1.141070169501035
121,1.141070169501035
122,1.141070169501035
123,1.141070169501035
124,1.1354193441123033
125,1.1354193441123033
126,1.1354193441123033
127,1.1354193441123033
128,1.138811370430879
129,1.138811370430879
130,1.138811370430879
